date,Unit,Estimated NAV after Trading Team Carry,NAV per unit,PNL per unit,ETH haircut,fund,Date
2025-03-20,72.64,75.484,1.039156343,0.0,,binggan,2025-03-20
2025-03-21,72.64,75.5425,1.039961688,0.0,,binggan,2025-03-21
2025-03-22,72.64,75.5425,1.039961688,0.0,,binggan,2025-03-22
2025-03-23,72.64,75.5425,1.039961688,0.0,,binggan,2025-03-23
2025-03-24,72.64,75.5425,1.039961688,0.0,,binggan,2025-03-24
2025-03-25,72.64,75.5425,1.039961688,0.0,,binggan,2025-03-25
2025-03-26,72.64,75.5425,1.039961688,0.0,,binggan,2025-03-26
2025-03-27,72.64,75.5425,1.039961688,0.0,,binggan,2025-03-27
2025-03-28,72.64,75.6335,1.041214446,0.0,,binggan,2025-03-28
2025-03-29,72.64,75.6335,1.041214446,0.0,,binggan,2025-03-29
2025-03-30,72.64,75.6335,1.041214446,0.0,,binggan,2025-03-30
2025-03-31,72.64,75.6335,1.041214446,0.0,,binggan,2025-03-31
2025-04-01,72.64,75.6335,1.041214446,0.0,,binggan,2025-04-01
2025-04-02,72.64,75.6335,1.041214446,0.0,,binggan,2025-04-02
2025-04-03,72.64,75.6335,1.041214446,0.0,,binggan,2025-04-03
2025-04-04,72.64,75.6753,1.04178982,0.0,,binggan,2025-04-04
2025-04-05,72.64,75.6753,1.04178982,0.0,,binggan,2025-04-05
2025-04-06,72.64,75.6753,1.04178982,0.0,,binggan,2025-04-06
2025-04-07,72.64,75.6753,1.04178982,0.0,,binggan,2025-04-07
2025-04-08,72.64,75.6753,1.04178982,0.0,,binggan,2025-04-08
2025-04-09,72.64,75.6753,1.04178982,0.0,,binggan,2025-04-09
2025-04-10,72.64,75.6753,1.04178982,0.0,,binggan,2025-04-10
2025-04-11,72.64,75.7208,1.042416199,0.0,,binggan,2025-04-11
2025-04-12,72.64,75.7208,1.042416199,0.0,,binggan,2025-04-12
2025-04-13,72.64,75.7208,1.042416199,0.0,,binggan,2025-04-13
2025-04-14,72.64,75.7208,1.042416199,0.0,,binggan,2025-04-14
2025-04-15,72.64,75.7208,1.042416199,0.0,,binggan,2025-04-15
2025-04-16,72.64,75.7208,1.042416199,0.0,,binggan,2025-04-16
2025-04-17,72.64,75.7208,1.042416199,0.0,,binggan,2025-04-17
2025-04-18,72.64,75.7793,1.043221544,0.0,,binggan,2025-04-18
2025-04-19,72.64,75.7793,1.043221544,0.0,,binggan,2025-04-19
2025-04-20,72.64,75.7793,1.043221544,0.0,,binggan,2025-04-20
2025-04-21,72.64,75.7793,1.043221544,0.0,,binggan,2025-04-21
2025-04-22,72.64,75.7793,1.043221544,0.0,,binggan,2025-04-22
2025-04-23,72.64,75.7793,1.043221544,0.0,,binggan,2025-04-23
2025-04-24,72.64,75.7793,1.043221544,0.0,,binggan,2025-04-24
2025-04-25,72.64,75.8573,1.044295337,0.0,,binggan,2025-04-25
2025-04-26,72.64,75.8573,1.044295337,0.0,,binggan,2025-04-26
2025-04-27,72.64,75.8573,1.044295337,0.0,,binggan,2025-04-27
2025-04-28,72.64,75.8573,1.044295337,0.0,,binggan,2025-04-28
2025-04-29,72.64,75.8573,1.044295337,0.0,,binggan,2025-04-29
2025-04-30,72.64,75.8573,1.044295337,0.0,,binggan,2025-04-30
2025-05-01,72.64,75.8573,1.044295337,0.0,,binggan,2025-05-01
2025-05-02,72.64,75.8573,1.044295337,0.0,,binggan,2025-05-02
2025-05-03,72.64,75.8573,1.044295337,0.0,,binggan,2025-05-03
2025-05-04,72.64,75.8573,1.044295337,0.0,,binggan,2025-05-04
2025-05-05,72.64,75.8573,1.044295337,0.0,,binggan,2025-05-05
2025-05-06,72.64,75.8573,1.044295337,0.0,,binggan,2025-05-06
2025-05-07,72.64,75.8573,1.044295337,0.0,,binggan,2025-05-07
2025-05-08,72.64,75.8573,1.044295337,0.0,,binggan,2025-05-08
2025-05-09,72.64,76.0451,1.046880494,0.0,,binggan,2025-05-09
2025-05-10,72.64,76.0451,1.046880494,0.0,,binggan,2025-05-10
2025-05-11,72.64,76.0451,1.046880494,0.0,,binggan,2025-05-11
2025-05-12,72.64,76.0451,1.046880494,0.0,,binggan,2025-05-12
